Fitness,Equations
50.525,"[(b1 - b4)*(b3 + b4) (a2 + b2)*(a4 - b1) (a1 - a3)*(a2 + a3)
 (a1 - a2)*(-a3 + b3) 0 (-a4 + b3)*(-b1 + b2) 0 (a3 + a4)*(a3 - b1)
 m3 - m5 + m7 + m8 -m2 + m4 + m5 + m8 m2 + m5 + m7 + m8 m3 + m4 + m7 + m8]"
48.5625,"[(b1 + b4)*(b3 + b4) (a2 + b2)*(a4 - b1) (a1 - a3)*(a2 + a3)
 (a1 - a2)*(-a3 + b3) 2*a3*(-a2 + b2) (-a4 + b3)*(-b1 + b2) 0 0
 m3 - m5 + m7 + m8 -m2 + m4 + m5 + m8 m3 + m5 + m7 + m8 m3]"
48.5625,"[(b1 + b4)*(b3 + b4) (a2 + b2)*(a4 - b1) (a1 - a3)*(a2 + a3)
 (a1 - a2)*(-a3 + b3) 2*a3*(-a2 + b2) b3*(-b1 + b2) 0 0 m3 - m5 + m7 + m8
 -m2 + m4 + m5 + m8 m3 + m5 + m7 + m8 m3]"
45.2875,"[(b1 + b4)*(b3 + b4) (a2 + b2)*(a4 - b1) (a1 - a3)*(a2 + a3)
 (a1 - a2)*(-a3 + b3) -(a2 - b2)*(a3 + a4) (a2 + b1)*(a4 - b3) 0
 (a3 + a4)*(a1 + a2 - b1) m3 - m5 + m7 + m8 -m2 + m4 + m5 + m8 m4 m3]"
45.2875,"[(b1 + b4)*(b3 + b4) (a2 + b2)*(a4 - b1) (a1 - a3)*(a2 + a3)
 (a1 - a2)*(-a3 + b3) -(a2 - b2)*(a3 + a4) -b4*(a2 + b1) 0
 (a3 + a4)*(a1 + a2 - b1) m3 - m5 + m7 + m8 -m2 + m4 + m5 + m8 m4 m3]"
40.6625,"[(b1 + b4)*(b3 + b4) (a2 + b2)*(a4 - b1) (a1 - a3)*(a2 + a3)
 -(a1 - a2)*(a3 - b3) -(a2 - b2)*(a3 + a4) (a2 + b1)*(a4 - b3) 0
 (a3 + a4)*(a1 + a2 - b1) 2*m7 + m8 -m2 + m4 + m5 + m8 m4 m3]"
38.5625,"[(b1 + b4)*(b3 + b4) (a2 + b2)*(a4 - b1) (a1 - a3)*(a2 + a3)
 -(a1 - a2)*(a3 - b3) -(a2 - b2)*(a3 + a4) (a2 + b1*(a3 - b3))*(a4 - b3) 0
 (a3 + a4)*(a1 + a2 - b1) 2*m7 + m8 -m2 + m4 + m5 + m8 m4 -1]"
37.8125,"[(b1 + b4)*(b3 + b4) (a2 + b2)*(a4 - b1) (a1 - a3)*(a2 + a3)
 -(a1 - a2)*(a3 - b3) -(a2 - b2)*(a3 + a4) -(a3*a4 + b3)*(a4 + b1 + b3) 0
 a2*(a1 + a2 - b1) 2*m7 + m8 -m2 + m5 + m8 m4 m3]"
36.65,"[-(b3 + b4)*(-a1 + b3 + b4) (a2 + b2)*(a4 - b1) a4*(a1 - a3)
 -(a1 - a2)*(a3 - b3) a3*(-a2 + b2) -b3*(a2 + b1*(a3 - b3))*(a4 + 1) 0
 (a4 - 1)*(a1 + a2 - b1) 2*m7 + m8 -m2 + m4 + m5 + m8 m8 m3]"
36.325,"[2*b1*(b3 + b4) 0 b2*(-a3 + b3) -(a1 - a2)*(a3 - b3) -(a2 - b2)*(a3 + a4)
 -b2*(a4 + 2*b1 + b3) 0 (a3 + a4)*(a1 + a2 - b1) m3 + m5 + 2*m7 + m8 - 1
 -m2 + m4 + m5 + m8 m4 m3]"
35.325,"[2*b1*(b3 + b4) 0 b2*(-a3 + b3) -(a1 - a2)*(a3 - b3) b4*(-a2 + b2)
 -b2*(a4 + 2*b1 + b3) 0 (a3 + a4)*(a1 + a2 - b1) m3 + m5 + 2*m7 + m8 - 1
 -m2 + m5 + 2*m7 + m8 m4 m3]"
33.8375,"[2*b1*(b3 + b4) 0 b2*(-a3 + b3) (a1 - a2)*(a3 - a4 + b3) b4*(-a2 + b2)
 b2*(-a4 - 2*b1 + b3 - 1) 0 (a3 + a4)*(a1 + a2 - b1)
 m3 + m5 + 2*m7 + m8 - 1 -m2 + m5 + 2*m7 + m8 m4 m8]"
